ENSEMBL	SYMBOL	KO01	KO02	KO03	WT01	WT02	WT03
ENSG00000155066.15	PROM2	2	1	1	0	0	3
ENSG00000155085.15	AK9	141	113	91	108	112	121
ENSG00000155087.3	ODF1	5	0	1	2	0	1
ENSG00000155090.14	KLF10	4275	3871	3293	2637	3122	3248
ENSG00000155093.17	PTPRN2	9	4	4	9	9	16
ENSG00000155096.13	AZIN1	16137	12648	8816	13072	14332	13166
ENSG00000155097.11	ATP6V1C1	8818	6911	5135	6009	6731	6483
ENSG00000155099.7	TMEM55A	297	246	228	229	236	221
ENSG00000155100.10	OTUD6B	2080	1489	849	1832	1857	1515
ENSG00000155111.14	CDK19	1483	1300	995	1151	1241	1145
ENSG00000155115.6	GTF3C6	1118	901	554	931	1062	1025
ENSG00000155158.20	TTC39B	41	19	21	26	42	27
ENSG00000155189.11	AGPAT5	5927	4542	2689	4785	5248	4648
ENSG00000155229.20	MMS19	3767	3399	2515	3224	3433	4052
ENSG00000155249.4	OR4K1	0	0	0	0	0	0
ENSG00000155252.13	PI4K2A	1633	1532	1354	1346	1419	1749
ENSG00000155254.12	MARVELD1	13	9	16	22	28	21
ENSG00000155256.17	ZFYVE27	1111	1083	739	1004	1053	1171
ENSG00000155265.10	GOLGA7B	0	0	2	2	0	0
ENSG00000155269.11	GPR78	0	1	0	0	0	0
ENSG00000155275.18	TRMT44	806	648	536	653	657	772
ENSG00000155287.10	SLC25A28	897	754	683	637	684	898
ENSG00000155304.5	HSPA13	3088	2052	1046	2622	2903	2151
ENSG00000155307.17	SAMSN1	105	96	52	93	145	99
ENSG00000155313.15	USP25	3874	3125	2227	3322	3637	3425
ENSG00000155324.9	GRAMD3	182	119	114	155	178	150
ENSG00000155329.11	ZCCHC10	1492	1078	771	1025	1094	1103
ENSG00000155330.9	C16orf87	1934	1432	923	1623	1611	1474
ENSG00000155363.18	MOV10	222	203	206	267	298	251
ENSG00000155366.16	RHOC	182	124	141	203	249	262
ENSG00000155367.15	PPM1J	33	32	30	39	59	59
ENSG00000155368.16	DBI	2958	2337	1627	2862	3204	3274
ENSG00000155380.11	SLC16A1	14228	10935	7499	12121	13601	13019
ENSG00000155393.12	HEATR3	2026	1612	1118	1930	2080	1954
ENSG00000155428.12	TRIM74	0	1	1	1	1	0
ENSG00000155438.11	NIFK	2144	1654	1021	1715	1887	1921
ENSG00000155463.12	OXA1L	8675	7932	6750	6916	7749	9132
ENSG00000155465.18	SLC7A7	120	69	44	72	83	79
ENSG00000155495.8	MAGEC1	0	0	0	0	1	0
ENSG00000155506.16	LARP1	44522	38484	33730	33187	36681	39936
ENSG00000155508.13	CNOT8	3647	3060	2186	2909	3178	3060
ENSG00000155511.17	GRIA1	1	0	0	0	0	0
ENSG00000155530.2	LRGUK	43	46	33	34	45	33
ENSG00000155542.11	SETD9	311	268	146	289	299	315
ENSG00000155545.19	MIER3	2660	1981	1201	2264	2493	2171
ENSG00000155561.14	NUP205	19413	15056	10539	15244	16496	14903
ENSG00000155592.15	ZKSCAN2	860	701	615	618	717	709
ENSG00000155621.14	C9orf85	524	421	282	423	420	490
ENSG00000155622.6	XAGE2	0	0	0	0	0	0
ENSG00000155629.14	PIK3AP1	16054	13162	9831	13104	14587	13763
ENSG00000155636.14	RBM45	791	596	353	617	687	654
ENSG00000155640.6	C10orf12	1120	896	860	759	861	790
ENSG00000155657.24	TTN	750	752	501	781	816	665
ENSG00000155659.14	VSIG4	0	1	0	0	0	0
ENSG00000155660.10	PDIA4	10454	8967	7490	10556	11698	13097
ENSG00000155666.11	KDM8	486	372	315	348	410	412
ENSG00000155714.13	PDZD9	3	2	2	1	6	4
ENSG00000155719.16	OTOA	13	2	2	2	3	6
ENSG00000155729.12	KCTD18	953	808	543	737	841	761
ENSG00000155744.9	FAM126B	4800	3568	2192	3663	4018	3360
ENSG00000155749.12	ALS2CR12	24	21	12	14	16	25
ENSG00000155754.14	ALS2CR11	0	0	0	1	0	0
ENSG00000155755.18	TMEM237	463	362	237	496	494	570
ENSG00000155760.2	FZD7	52	41	18	38	57	42
ENSG00000155761.13	SPAG17	3	1	3	5	1	2
ENSG00000155792.9	DEPTOR	2905	2380	1619	2369	2621	2602
ENSG00000155816.19	FMN2	2	1	1	0	0	0
ENSG00000155827.11	RNF20	3282	2531	1886	2564	2823	2975
ENSG00000155833.14	CYLC2	0	0	0	0	0	0
ENSG00000155846.16	PPARGC1B	2392	2204	1788	1963	2161	2180
ENSG00000155849.15	ELMO1	5670	5008	4337	3536	4014	4506
ENSG00000155850.7	SLC26A2	1530	1257	800	1120	1230	950
ENSG00000155858.5	LSM11	1731	1407	906	1391	1480	1285
ENSG00000155868.7	MED7	554	465	300	440	472	471
ENSG00000155875.13	SAXO1	2	1	0	0	0	0
ENSG00000155876.5	RRAGA	3275	2861	2024	2401	2621	2800
ENSG00000155886.11	SLC24A2	1	2	4	1	1	0
ENSG00000155890.3	TRIM42	0	0	0	0	0	0
ENSG00000155893.11	PXYLP1	119	77	85	137	175	147
ENSG00000155897.9	ADCY8	0	0	0	0	1	0
ENSG00000155903.11	RASA2	2858	2326	1292	2389	2580	2081
ENSG00000155906.16	RMND1	811	635	445	736	835	954
ENSG00000155918.7	RAET1L	0	0	2	0	1	1
ENSG00000155926.13	SLA	1992	1658	1270	1807	2001	2133
ENSG00000155957.17	TMBIM4	291	235	138	208	204	208
ENSG00000155959.10	VBP1	3880	2991	1802	3178	3387	3192
ENSG00000155961.4	RAB39B	709	553	392	591	791	604
ENSG00000155962.12	CLIC2	2	4	3	8	12	9
ENSG00000155966.13	AFF2	8473	7260	6237	5739	6875	6163
ENSG00000155970.11	MICU3	25	19	9	25	35	27
ENSG00000155974.11	GRIP1	17	9	11	18	11	18
ENSG00000155975.9	VPS37A	2013	1725	1205	1546	1797	1727
ENSG00000155980.11	KIF5A	774	745	676	886	899	994
ENSG00000156006.4	NAT2	0	0	0	0	0	0
ENSG00000156009.9	MAGEA8	5	1	5	4	1	6
ENSG00000156011.16	PSD3	3	0	0	5	2	0
ENSG00000156017.12	CARNMT1	1946	1408	856	1855	1864	1607
ENSG00000156026.14	MCU	1513	1227	1044	1328	1373	1600
ENSG00000156030.12	ELMSAN1	10559	9832	9409	7395	8203	8167
ENSG00000156042.17	CFAP70	80	53	33	71	81	48
ENSG00000156049.6	GNA14	1	1	0	0	2	2
ENSG00000156050.8	FAM161B	296	244	175	211	229	235
ENSG00000156052.10	GNAQ	9	9	4	1	0	3
ENSG00000156076.9	WIF1	0	1	0	2	0	3
ENSG00000156096.12	UGT2B4	0	0	0	0	0	0
ENSG00000156097.12	GPR61	9	7	4	4	8	3
ENSG00000156103.15	MMP16	4	1	2	1	2	1
ENSG00000156110.13	ADK	2818	2104	1251	2260	2541	2405
ENSG00000156113.20	KCNMA1	0	0	0	0	0	0
ENSG00000156127.6	BATF	771	761	635	659	783	932
ENSG00000156136.9	DCK	8812	6497	3770	7955	8788	7459
ENSG00000156140.8	ADAMTS3	0	1	0	1	2	1
ENSG00000156150.6	ALX3	0	0	0	0	0	0
ENSG00000156162.16	DPY19L4	659	463	268	535	583	485
ENSG00000156170.12	NDUFAF6	1909	1519	1084	1690	1718	1822
ENSG00000156171.14	DRAM2	2127	2058	1461	1854	2173	2390
ENSG00000156172.5	C8orf37	327	281	177	308	313	297
ENSG00000156194.17	PPEF2	2	0	1	0	2	1
ENSG00000156206.13	CFAP161	2	1	1	2	3	3
ENSG00000156218.12	ADAMTSL3	20	13	13	20	25	18
ENSG00000156219.16	ART3	2	1	1	3	2	4
ENSG00000156222.11	SLC28A1	0	2	0	2	0	0
ENSG00000156232.7	WHAMM	1738	1521	1282	1187	1294	1369
ENSG00000156234.7	CXCL13	0	1	2	3	2	6
ENSG00000156239.11	N6AMT1	396	269	189	306	314	345
ENSG00000156253.6	RWDD2B	1156	934	820	981	1190	1315
ENSG00000156256.14	USP16	4115	3176	2199	3468	3662	3739
ENSG00000156261.12	CCT8	16185	12752	8748	13158	14571	15686
ENSG00000156265.15	MAP3K7CL	69	54	40	65	97	58
ENSG00000156269.4	NAA11	0	0	0	0	0	0
ENSG00000156273.15	BACH1	1265	917	573	941	1157	900
ENSG00000156282.4	CLDN17	0	0	0	0	0	0
ENSG00000156284.5	CLDN8	0	0	0	0	0	0
ENSG00000156298.12	TSPAN7	0	0	0	0	0	0
ENSG00000156299.12	TIAM1	756	744	575	542	623	577
ENSG00000156304.14	SCAF4	7992	7420	7242	5972	6715	7729
ENSG00000156313.12	RPGR	606	468	373	555	611	551
ENSG00000156345.17	CDK20	0	0	0	0	0	0
ENSG00000156374.14	PCGF6	383	290	163	337	362	396
ENSG00000156381.8	ANKRD9	404	426	292	404	495	481
ENSG00000156384.14	SFR1	267	200	129	226	219	190
ENSG00000156395.12	SORCS3	0	0	0	0	0	0
ENSG00000156398.12	SFXN2	2826	2540	1957	2140	2211	2491
ENSG00000156411.9	C14orf2	4307	3858	3349	3336	3758	4837
ENSG00000156413.13	FUT6	1	0	2	1	1	0
ENSG00000156414.18	TDRD9	0	0	0	0	0	0
ENSG00000156427.7	FGF18	12	10	9	17	7	15
ENSG00000156453.13	PCDH1	0	1	0	1	0	1
ENSG00000156463.17	SH3RF2	0	0	0	1	0	0
ENSG00000156466.9	GDF6	2	0	1	0	1	1
ENSG00000156467.9	UQCRB	6892	5436	4588	4826	5575	6788
ENSG00000156469.8	MTERF3	1475	1234	904	1334	1311	1366
ENSG00000156471.12	PTDSS1	16187	13296	9245	13491	14636	15382
ENSG00000156475.18	PPP2R2B	0	0	0	0	1	0
ENSG00000156482.10	RPL30	11987	9857	6405	10118	11222	12609
ENSG00000156486.7	KCNS2	1	3	0	1	4	4
ENSG00000156500.14	FAM122C	169	162	106	97	141	119
ENSG00000156502.13	SUPV3L1	3986	3204	2195	3771	3958	4472
ENSG00000156504.16	FAM122B	3512	2821	1989	3061	3278	2972
ENSG00000156508.17	EEF1A1	22790	18238	12914	21529	24091	24873
ENSG00000156509.13	FBXO43	361	321	214	371	357	356
ENSG00000156510.12	HKDC1	0	0	0	0	0	0
ENSG00000156515.21	HK1	6210	5423	4475	6228	7222	8077
ENSG00000156521.13	TYSND1	1927	1733	1438	2147	2254	2673
ENSG00000156531.16	PHF6	8342	6408	3975	6787	7213	5919
ENSG00000156535.13	CD109	57	53	43	48	58	53
ENSG00000156564.8	LRFN2	0	0	0	0	0	0
ENSG00000156574.9	NODAL	7	9	9	8	19	8
ENSG00000156575.2	PRG3	0	1	2	0	0	1
ENSG00000156587.15	UBE2L6	2741	2515	2238	2269	2749	3188
ENSG00000156599.10	ZDHHC5	8160	7456	5998	6272	7228	7621
ENSG00000156603.14	MED19	795	660	603	568	642	876
ENSG00000156639.11	ZFAND3	3515	3016	2583	2621	3055	3138
ENSG00000156642.16	NPTN	3856	3124	2094	2769	3170	3163
ENSG00000156650.12	KAT6B	8026	6980	6094	8290	8965	9942
ENSG00000156671.12	SAMD8	1282	997	569	1258	1241	1118
ENSG00000156675.15	RAB11FIP1	8872	7552	6237	5609	6361	6235
ENSG00000156687.10	UNC5D	0	0	0	0	1	0
ENSG00000156689.6	GLYATL2	54	67	40	62	63	52
ENSG00000156697.12	UTP14A	3330	2940	2256	2370	2481	3043
ENSG00000156709.13	AIFM1	4739	3785	2669	4068	4529	4971
ENSG00000156711.16	MAPK13	1503	1350	1018	1296	1727	1455
ENSG00000156735.10	BAG4	2181	1859	1301	1673	1962	1760
ENSG00000156738.17	MS4A1	100907	89550	63084	67726	79820	73402
ENSG00000156787.16	TBC1D31	1818	1395	974	1514	1587	1607
ENSG00000156795.6	WDYHV1	423	321	234	364	418	393
ENSG00000156802.12	ATAD2	11637	8859	5983	8801	9475	8305
ENSG00000156804.7	FBXO32	178	117	95	90	95	96
ENSG00000156831.7	NSMCE2	1680	1371	1036	1085	1378	1415
ENSG00000156853.11	ZNF689	1753	1619	1311	1171	1329	1540
ENSG00000156858.11	PRR14	2849	2865	2844	1889	2127	2829
ENSG00000156860.15	FBRS	10215	9917	10824	7313	8313	10648
ENSG00000156869.12	FRRS1	295	217	146	317	373	330
ENSG00000156873.15	PHKG2	1590	1398	1140	1377	1541	1858
ENSG00000156875.13	HIAT1	4692	3949	2550	4493	5017	4881
ENSG00000156876.9	SASS6	2469	1971	1372	1991	2106	2135
ENSG00000156885.5	COX6A2	0	0	0	0	0	0
ENSG00000156886.11	ITGAD	0	1	1	0	1	0
ENSG00000156920.10	ADGRG4	0	1	0	0	0	1
ENSG00000156925.11	ZIC3	0	0	0	0	0	0
ENSG00000156928.4	MALSU1	1304	1074	808	1061	1182	1405
ENSG00000156931.15	VPS8	4253	3401	2415	3268	3751	3272
ENSG00000156958.14	GALK2	763	640	483	602	701	706
ENSG00000156959.8	LHFPL4	7	6	5	4	10	4
ENSG00000156966.6	B3GNT7	325	321	339	287	314	398
ENSG00000156968.8	MPV17L	2	0	2	0	0	0
ENSG00000156970.12	BUB1B	13224	10525	7430	9602	10142	9854
ENSG00000156973.13	PDE6D	1505	1323	1159	1318	1467	1739
ENSG00000156976.14	EIF4A2	22945	17173	10476	16737	17332	17424
ENSG00000156983.15	BRPF1	4436	4068	3500	3151	3412	4090
ENSG00000156990.14	RPUSD3	2086	1900	1740	1546	1717	2115
ENSG00000157005.3	SST	0	0	0	0	0	0
ENSG00000157014.10	TATDN2	2742	2443	1762	2263	2429	2567
ENSG00000157017.15	GHRL	17	19	17	19	10	10
ENSG00000157020.17	SEC13	7819	6575	5023	5444	6065	7432
ENSG00000157036.12	EXOG	1503	1241	852	1138	1171	1204
ENSG00000157045.8	NTAN1	1007	796	608	781	819	1068
ENSG00000157060.14	SHCBP1L	0	0	0	3	3	1
ENSG00000157064.10	NMNAT2	0	0	0	0	0	0
ENSG00000157077.14	ZFYVE9	452	336	261	301	376	361
ENSG00000157087.16	ATP2B2	4	3	2	2	1	1
ENSG00000157093.8	LYZL4	0	0	0	0	0	0
ENSG00000157103.10	SLC6A1	0	0	0	0	0	0
ENSG00000157106.16	SMG1	10324	8031	6569	8055	9319	7494
ENSG00000157107.13	FCHO2	208	129	102	167	189	117
ENSG00000157110.15	RBPMS	187	134	126	145	126	155
ENSG00000157111.12	TMEM171	0	0	0	0	0	0
ENSG00000157119.11	KLHL40	0	0	0	0	0	0
ENSG00000157131.10	C8A	0	0	0	0	0	0
ENSG00000157150.4	TIMP4	0	0	0	0	0	0
ENSG00000157152.16	SYN2	0	2	0	0	0	0
ENSG00000157168.18	NRG1	0	0	0	0	0	0
ENSG00000157181.15	C1orf27	1197	955	645	979	1053	1025
ENSG00000157184.5	CPT2	1124	904	733	941	1071	1061
ENSG00000157191.19	NECAP2	4286	3762	2940	3166	3826	4129
ENSG00000157193.14	LRP8	3317	3284	2309	2735	3126	2984
ENSG00000157211.10	CDCP2	1	0	0	0	0	1
ENSG00000157212.18	PAXIP1	3635	3407	2876	2721	3167	3292
ENSG00000157214.13	STEAP2	2	0	1	0	1	0
ENSG00000157216.15	SSBP3	945	866	677	667	753	952
ENSG00000157219.3	HTR5A	0	0	0	0	0	0
ENSG00000157224.15	CLDN12	453	387	199	421	452	375
ENSG00000157227.12	MMP14	16	14	13	18	15	20
ENSG00000157240.3	FZD1	360	277	208	289	344	333
ENSG00000157259.6	GATAD1	975	869	539	801	824	766
ENSG00000157303.10	SUSD3	1117	981	796	1003	1143	1215
ENSG00000157315.4	TMED6	55	42	40	57	45	40
ENSG00000157322.16	CLEC18A	1	6	5	3	6	6
ENSG00000157326.18	DHRS4	199	164	104	198	234	241
ENSG00000157330.9	C1orf158	0	0	1	0	0	0
ENSG00000157335.19	CLEC18C	3	3	2	2	2	0
ENSG00000157343.8	ARMC12	5	6	7	2	10	7
ENSG00000157349.16	DDX19B	786	732	640	692	750	833
ENSG00000157350.12	ST3GAL2	7133	6159	5380	5188	5921	6350
ENSG00000157353.16	FUK	773	652	497	613	635	646
ENSG00000157368.10	IL34	0	1	3	1	0	2
ENSG00000157379.13	DHRS1	1045	960	683	860	917	1037
ENSG00000157388.13	CACNA1D	69	80	45	124	196	121
ENSG00000157399.14	ARSE	0	0	0	0	0	0
ENSG00000157404.15	KIT	0	0	0	0	0	0
ENSG00000157423.17	HYDIN	3	4	2	0	1	1
ENSG00000157426.13	AASDH	697	591	378	572	627	536
ENSG00000157429.15	ZNF19	124	62	43	65	73	100
ENSG00000157445.14	CACNA2D3	449	413	274	345	441	472
ENSG00000157450.15	RNF111	3167	2838	2530	2354	2643	2509
ENSG00000157456.7	CCNB2	6761	5587	4287	4935	5426	5883
ENSG00000157470.11	FAM81A	7404	5807	3737	5145	5882	5401
ENSG00000157483.8	MYO1E	27884	23191	18213	18995	21186	20889
ENSG00000157500.10	APPL1	6613	4894	3366	5907	6504	5720
ENSG00000157502.12	MUM1L1	0	0	0	0	0	0
ENSG00000157510.13	AFAP1L1	0	2	2	2	0	0
ENSG00000157514.16	TSC22D3	677	630	417	760	821	861
ENSG00000157538.13	DSCR3	3840	3284	2405	2774	3198	3040
ENSG00000157540.19	DYRK1A	6116	5158	4211	5516	6003	6063
ENSG00000157542.9	KCNJ6	0	0	0	1	1	0
ENSG00000157551.17	KCNJ15	0	0	0	0	0	0
ENSG00000157554.18	ERG	0	0	0	0	0	0
ENSG00000157557.11	ETS2	1423	1268	1059	1167	1340	1413
ENSG00000157570.11	TSPAN18	106	87	85	121	134	143
ENSG00000157578.13	LCA5L	56	44	32	40	45	38
ENSG00000157593.16	SLC35B2	3386	3065	2636	2239	2510	2774
ENSG00000157600.11	TMEM164	1058	809	692	735	993	912
ENSG00000157601.13	MX1	27	27	17	51	78	59
ENSG00000157613.10	CREB3L1	2958	3025	2935	1853	2540	2126
ENSG00000157617.16	C2CD2	287	234	154	197	221	191
ENSG00000157625.15	TAB3	4556	3739	3114	3748	4139	3920
ENSG00000157637.12	SLC38A10	5543	4973	4040	4199	4449	5102
ENSG00000157653.11	C9orf43	64	73	37	38	49	66
ENSG00000157654.17	PALM2-AKAP2	0	0	0	0	0	1
ENSG00000157657.14	ZNF618	13	13	5	11	16	8
ENSG00000157680.15	DGKI	30	24	20	26	22	31
ENSG00000157693.14	C9orf91	2757	2593	2228	2146	2420	2646
ENSG00000157703.15	SVOPL	3	2	2	0	0	2
ENSG00000157734.13	SNX22	1613	1573	1142	1412	1606	1602
ENSG00000157741.14	UBN2	2902	2334	1795	1972	2225	2013
ENSG00000157764.12	BRAF	4822	4039	3101	3682	4299	3782
ENSG00000157765.11	SLC34A2	5	5	2	3	1	2
ENSG00000157766.15	ACAN	1	0	0	1	0	0
ENSG00000157778.8	PSMG3	1489	1229	827	1132	1181	1326
ENSG00000157782.9	CABP1	19	21	15	37	48	37
ENSG00000157796.17	WDR19	1819	1444	877	1725	1864	1647
ENSG00000157800.17	SLC37A3	463	381	276	386	449	400
ENSG00000157823.16	AP3S2	1956	1689	1278	1337	1516	1499
ENSG00000157827.19	FMNL2	47	27	20	47	37	34
ENSG00000157833.12	GAREML	725	649	556	485	542	639
ENSG00000157837.15	SPPL3	2319	1926	1333	1855	2115	1981
ENSG00000157851.16	DPYSL5	5	5	7	0	11	10
ENSG00000157856.10	DRC1	2	0	1	1	2	4
ENSG00000157869.14	RAB28	913	703	486	747	858	788
ENSG00000157870.14	FAM213B	152	186	163	152	170	238
ENSG00000157873.17	TNFRSF14	218	174	115	155	198	199
ENSG00000157881.13	PANK4	1459	1271	849	1015	1138	1305
ENSG00000157884.10	CIB4	0	0	0	0	0	0
ENSG00000157890.17	MEGF11	433	354	297	285	398	299
ENSG00000157895.11	C12orf43	2176	1839	1579	1519	1579	1882
ENSG00000157911.9	PEX10	621	539	480	535	547	672
ENSG00000157916.18	RER1	4444	3381	2125	3335	3756	3938
ENSG00000157927.16	RADIL	6	12	6	8	9	15
ENSG00000157933.9	SKI	1468	1397	1121	913	1057	1132
ENSG00000157954.14	WIPI2	6322	5576	4112	4725	5324	6111
ENSG00000157978.11	LDLRAP1	553	480	460	531	591	696
ENSG00000157985.18	AGAP1	3	2	2	0	0	0
ENSG00000157992.12	KRTCAP3	12	9	2	12	5	7
ENSG00000157999.5	ANKRD61	44	20	17	27	21	17
ENSG00000158006.13	PAFAH2	495	398	269	327	362	420
ENSG00000158008.9	EXTL1	0	6	2	0	1	2
ENSG00000158014.14	SLC30A2	1	1	0	2	3	1
ENSG00000158019.20	BRE	1129	945	801	806	965	995
ENSG00000158022.6	TRIM63	0	0	0	0	1	0
ENSG00000158023.9	WDR66	525	432	319	557	557	524
ENSG00000158042.8	MRPL17	2869	2606	2042	2033	2284	2676
ENSG00000158050.4	DUSP2	5862	5041	3468	3038	3330	3901
ENSG00000158055.15	GRHL3	6	0	3	3	3	3
ENSG00000158062.20	UBXN11	1818	1832	1362	1669	1732	2109
ENSG00000158077.4	NLRP14	174	113	96	127	153	112
ENSG00000158079.14	PTPDC1	0	2	0	0	0	0
ENSG00000158089.14	GALNT14	701	667	561	575	672	725
ENSG00000158092.6	NCK1	2126	1662	1016	1829	1886	1850
ENSG00000158104.11	HPD	12	8	18	7	10	10
ENSG00000158106.12	RHPN1	66	71	34	118	134	115
ENSG00000158109.14	TPRG1L	2723	2294	1933	1787	2137	2299
ENSG00000158113.12	LRRC43	8	3	3	5	4	3
ENSG00000158122.11	AAED1	508	428	290	368	432	388
ENSG00000158125.9	XDH	0	0	0	0	0	0
ENSG00000158156.7	XKR8	180	155	150	224	239	319
ENSG00000158158.11	CNNM4	954	833	606	780	891	1008
ENSG00000158161.15	EYA3	10281	8978	6781	7437	8594	8378
ENSG00000158163.14	DZIP1L	1	1	0	0	1	0
ENSG00000158164.6	TMSB15A	0	0	0	0	0	0
ENSG00000158169.11	FANCC	1793	1386	988	1263	1439	1456
ENSG00000158186.12	MRAS	4	10	11	12	11	19
ENSG00000158195.10	WASF2	12391	11602	10776	8979	10505	11008
ENSG00000158201.9	ABHD3	5770	4279	2674	5070	5477	4790
ENSG00000158220.13	ESYT3	10	4	1	4	6	5
ENSG00000158234.12	FAIM	1350	1112	859	1107	1280	1328
ENSG00000158246.7	FAM46B	1	0	1	0	0	0
ENSG00000158258.15	CLSTN2	2	3	4	1	2	5
ENSG00000158270.11	COLEC12	0	0	0	3	1	2
ENSG00000158286.12	RNF207	10	13	4	27	26	16
ENSG00000158290.16	CUL4B	5558	4085	2895	4687	4984	4671
ENSG00000158292.6	GPR153	91	78	88	109	115	144
ENSG00000158296.13	SLC13A3	1	2	1	0	1	1
ENSG00000158301.18	GPRASP2	11	8	2	0	1	0
ENSG00000158315.10	RHBDL2	11	15	8	17	23	16
ENSG00000158321.15	AUTS2	1429	1361	1376	899	1161	1090
ENSG00000158352.15	SHROOM4	0	0	2	0	2	0
ENSG00000158373.8	HIST1H2BD	506	452	270	256	260	324
ENSG00000158402.18	CDC25C	1167	1070	685	831	868	975
ENSG00000158406.4	HIST1H4H	395	286	213	142	172	200
ENSG00000158411.10	MITD1	894	710	466	795	795	807
ENSG00000158417.10	EIF5B	18535	15687	12513	14478	15405	18253
ENSG00000158423.16	RIBC1	45	47	39	38	42	38
ENSG00000158427.14	TMSB15B	140	97	70	98	73	97
ENSG00000158428.3	CATIP	0	0	0	0	0	0
ENSG00000158435.7	CNOT11	3505	3138	2601	3081	3413	3828
ENSG00000158445.8	KCNB1	6	5	1	2	0	1
ENSG00000158457.5	TSPAN33	1252	1148	881	1072	1125	1231
ENSG00000158458.19	NRG2	211	191	137	126	170	167
ENSG00000158467.16	AHCYL2	824	673	485	668	824	771
ENSG00000158470.5	B4GALT5	6651	5916	5140	3352	3698	3909
ENSG00000158473.6	CD1D	15	7	10	13	13	10
ENSG00000158477.6	CD1A	6	3	9	25	18	18
ENSG00000158480.10	SPATA2	1728	1619	1332	1159	1355	1659
ENSG00000158481.12	CD1C	70	68	42	79	106	70
ENSG00000158483.15	FAM86C1	360	331	262	254	293	356
ENSG00000158485.10	CD1B	0	0	0	0	0	0
ENSG00000158486.13	DNAH3	114	121	66	64	69	68
ENSG00000158488.15	CD1E	0	0	0	0	0	0
ENSG00000158497.2	HMHB1	3	2	2	4	4	1
ENSG00000158516.11	CPA2	1	4	1	1	1	1
ENSG00000158517.13	NCF1	919	817	826	545	632	891
ENSG00000158525.15	CPA5	1	0	0	1	0	0
ENSG00000158526.7	TSR2	2090	1762	1313	1593	1663	1839
ENSG00000158528.11	PPP1R9A	0	0	0	0	0	0
ENSG00000158545.15	ZC3H18	11521	10753	9829	7503	8365	10715
ENSG00000158552.12	ZFAND2B	1036	897	675	735	836	913
ENSG00000158553.4	POM121L2	0	0	1	1	0	0
ENSG00000158555.14	GDPD5	156	150	116	104	142	117
ENSG00000158560.14	DYNC1I1	112	75	66	68	70	78
ENSG00000158571.10	PFKFB1	13	11	3	11	7	6
ENSG00000158578.18	ALAS2	6	0	3	2	7	0
ENSG00000158604.14	TMED4	4348	3679	2587	3292	3576	3835
ENSG00000158615.8	PPP1R15B	10146	8350	5820	7466	8136	7489
ENSG00000158623.14	COPG2	1123	881	608	1209	1311	1291
ENSG00000158636.16	C11orf30	2762	2577	2343	2019	2293	2317
ENSG00000158639.12	PAGE5	2	1	1	3	3	4
ENSG00000158669.11	GPAT4	3704	3072	2169	2881	2926	3329
ENSG00000158683.7	PKD1L1	37	26	26	14	24	24
ENSG00000158691.14	ZSCAN12	786	666	510	641	841	727
ENSG00000158710.14	TAGLN2	14992	13994	12846	11259	13299	15660
ENSG00000158711.13	ELK4	7248	5738	4139	6477	7016	5608
ENSG00000158714.10	SLAMF8	0	0	0	0	0	0
ENSG00000158715.5	SLC45A3	760	685	539	557	583	623
ENSG00000158716.8	DUSP23	8	11	5	5	5	12
ENSG00000158717.10	RNF166	1027	1039	827	857	980	1109
ENSG00000158747.13	NBL1	216	249	232	131	168	192
ENSG00000158748.3	HTR6	0	0	2	1	3	1
ENSG00000158764.6	ITLN2	0	0	0	0	1	0
ENSG00000158769.17	F11R	1289	1019	579	1306	1529	1349
ENSG00000158773.14	USF1	3928	3548	2502	3119	3200	4018
ENSG00000158786.4	PLA2G2F	0	0	0	0	0	0
ENSG00000158792.15	SPATA2L	430	394	307	371	449	490
ENSG00000158793.13	NIT1	986	837	630	876	938	1123
ENSG00000158796.16	DEDD	2708	2494	2113	1687	1863	2269
ENSG00000158805.11	ZNF276	935	904	714	781	816	902
ENSG00000158806.13	NPM2	14	11	14	18	19	16
ENSG00000158813.17	EDA	4	4	3	2	5	4
ENSG00000158815.10	FGF17	13	15	20	18	14	17
ENSG00000158816.15	VWA5B1	0	0	1	0	0	0
ENSG00000158825.5	CDA	0	0	0	0	0	1
ENSG00000158828.5	PINK1	457	413	348	312	390	456
ENSG00000158850.14	B4GALT3	8419	7877	6943	4647	5376	6557
ENSG00000158856.17	DMTN	65	57	68	54	93	76
ENSG00000158859.9	ADAMTS4	22	18	14	8	11	18
ENSG00000158863.21	FAM160B2	842	754	589	820	857	1030
ENSG00000158864.12	NDUFS2	5573	4657	2983	4200	4572	5179
ENSG00000158865.12	SLC5A11	7	5	5	3	6	7
ENSG00000158869.10	FCER1G	14	19	19	11	11	15
ENSG00000158874.11	APOA2	0	0	0	0	0	0
ENSG00000158882.12	TOMM40L	1310	1093	893	954	977	1166
ENSG00000158887.15	MPZ	526	516	560	366	361	476
ENSG00000158901.11	WFDC8	0	0	0	0	0	0
ENSG00000158941.16	CCAR2	7543	6451	5206	5127	5861	6833
ENSG00000158955.10	WNT9B	1	0	0	0	1	0
ENSG00000158966.13	CACHD1	70	41	49	50	66	58
ENSG00000158985.13	CDC42SE2	7110	5465	3370	6267	6783	6190
ENSG00000158987.20	RAPGEF6	1498	1240	717	1229	1297	1173
ENSG00000159023.18	EPB41	13840	11786	9158	9718	10986	10937
